experiment,model,num_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,auroc_macro,auprc_macro,val_f1
LGG_HGG,mri_only_train,28,0.8571428571428571,0.8125,0.7565217391304347,0.8683229813664595,0.7272727272727273,0.8125,0.9322916666666667,0.8290412928456405,0.8683229813664595
LGG_HGG,pathology_only_train,28,0.8571428571428571,0.8125,0.7565217391304347,0.8683229813664595,0.7272727272727273,0.8125,0.71875,0.6316169095459923,0.8683229813664595
LGG_HGG,fusion_train_full,28,0.8214285714285714,0.7916666666666667,0.7171717171717171,0.8398268398268398,0.6904761904761905,0.7916666666666667,0.71875,0.6316169095459923,0.8293460925039872
LGG_HGG,fusion_train_mri_ablated,28,0.8214285714285714,0.7916666666666667,0.7171717171717171,0.8398268398268398,0.6904761904761905,0.7916666666666667,0.71875,0.6316169095459923,0.8293460925039872
LGG_HGG,fusion_train_pathology_ablated,28,0.8928571428571429,0.8333333333333333,0.801418439716312,0.8976697061803446,0.7782608695652173,0.8333333333333333,0.9270833333333334,0.8399990850534328,0.8293460925039872
LGG_HGG,fusion_train_both_ablated,28,0.8571428571428571,0.8125,0.7565217391304347,0.8683229813664595,0.7272727272727273,0.8125,0.7291666666666666,0.6428638902223207,0.8293460925039872
Level1Class,mri_only_train,18,0.7222222222222222,0.4696969696969697,0.4666666666666666,0.6888888888888889,0.48809523809523814,0.4696969696969697,0.6790559658206717,0.5157084918448555,0.6888888888888889
Level1Class,pathology_only_train,18,0.7222222222222222,0.4696969696969697,0.4666666666666666,0.6888888888888889,0.48809523809523814,0.4696969696969697,0.6896096822567409,0.6028832278832278,0.6888888888888889
Level1Class,fusion_train_full,18,0.8333333333333334,0.5555555555555555,0.56,0.8044444444444445,0.5952380952380952,0.5555555555555555,0.8305923379452791,0.6274706774706774,0.763235294117647
Level1Class,fusion_train_mri_ablated,18,0.7777777777777778,0.5252525252525252,0.5202020202020202,0.7516835016835017,0.5230769230769231,0.5252525252525252,0.6703024644201115,0.620977170977171,0.763235294117647
Level1Class,fusion_train_pathology_ablated,18,0.6111111111111112,0.2689393939393939,0.2548076923076923,0.5534188034188035,0.29166666666666663,0.2689393939393939,0.6700584274113686,0.48518766463285184,0.763235294117647
Level1Class,fusion_train_both_ablated,18,0.7222222222222222,0.4696969696969697,0.4666666666666666,0.6888888888888889,0.48809523809523814,0.4696969696969697,0.6896096822567409,0.6028832278832278,0.763235294117647
WHOGrade,mri_only_train,28,0.7857142857142857,0.5666666666666667,0.5793650793650794,0.7653061224489796,0.6212121212121212,0.5666666666666667,0.7826388888888888,0.6528012205611535,0.7653061224489796
WHOGrade,pathology_only_train,28,0.7142857142857143,0.6,0.5687423687423687,0.712611198325484,0.5584795321637427,0.6,0.6909722222222222,0.5804725815373727,0.712611198325484
WHOGrade,fusion_train_full,28,0.7142857142857143,0.6,0.5687423687423687,0.712611198325484,0.5584795321637427,0.6,0.7006944444444446,0.5965962543266464,0.612537838101748
WHOGrade,fusion_train_mri_ablated,28,0.7142857142857143,0.6,0.5687423687423687,0.712611198325484,0.5584795321637427,0.6,0.6930555555555555,0.5810325288364505,0.612537838101748
WHOGrade,fusion_train_pathology_ablated,28,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.7551020408163265,0.6555555555555556,0.6666666666666666,0.7659722222222222,0.6151472270419639,0.612537838101748
WHOGrade,fusion_train_both_ablated,28,0.7142857142857143,0.6,0.5687423687423687,0.712611198325484,0.5584795321637427,0.6,0.6965277777777779,0.5949214177253394,0.612537838101748
